Easting,Northing,Elevation,Code,source,Point_ID
642234.508,4242065.769,5.967,BANKBED,Nichols 2015,764_763_stk64
642234.119,4242065.885,6.051,BANKBED,Nichols 2015,764_763_stk65
642233.766,4242066.032,6.098,BANKBED,Nichols 2015,764_763_stk66
642233.353,4242066.200,6.14,BANKBED,Nichols 2015,764_763_stk67
642232.931,4242066.336,6.171,BANKBED,Nichols 2015,764_763_stk68
642232.395,4242066.531,6.207,BANKTOE,Nichols 2015,764_763_stk69
642232.149,4242066.618,6.25,BANKSLOPE,Nichols 2015,764_763_stk70
642231.911,4242066.653,6.532,BANKSLOPE,Nichols 2015,764_763_stk71
642231.548,4242066.787,7.088,BANKSLOPE,Nichols 2015,764_763_stk72
642230.629,4242067.144,8.054,BANKSLOPE,Nichols 2015,764_763_stk73
642230.181,4242067.294,8.384,BANKSLOPE,Nichols 2015,764_763_stk74
642229.727,4242067.470,8.667,BANKSLOPE,Nichols 2015,764_763_stk75
642229.117,4242067.666,8.858,BANKSLOPE,Nichols 2015,764_763_stk76
642229.125,4242067.672,8.856,BANKTOP,Nichols 2015,764_763_stk77
642228.656,4242067.824,8.925,BANK,Nichols 2015,764_763_stk78
642228.023,4242068.097,8.946,BANK,Nichols 2015,764_763_stk79
642227.597,4242068.255,8.958,BANK,Nichols 2015,764_763_stk80
642227.173,4242068.360,9.021,BANK,Nichols 2015,764_763_stk81
642226.458,4242068.653,9.097,BANK,Nichols 2015,764_763_stk82
642225.887,4242068.831,9.124,BANK,Nichols 2015,764_763_stk83
642225.421,4242068.984,9.096,BANK,Nichols 2015,764_763_stk84
642224.861,4242069.176,8.998,BANK,Nichols 2015,764_763_stk85
642224.420,4242069.335,8.977,BANK,Nichols 2015,764_763_stk86
642185.814,4242004.582,-0.004,XS24A,Nichols 2015,765
642206.705,4241956.162,-0.004,XS24A,Nichols 2015,766
642114.200,4241850.637,-0.004,XS28A,Nichols 2015,767
642158.227,4241850.901,-0.004,XS28A,Nichols 2015,768
642007.619,4241692.849,-0.004,XS28A,Nichols 2015,769
641832.980,4241316.469,-0.004,XS32A,Nichols 2015,770
641864.164,4241282.287,-0.004,XS32A,Nichols 2015,771
641863.640,4241282.829,7.955, ,Nichols 2015,771_770_stk
641863.327,4241283.248,7.898,BANK,Nichols 2015,771_770_stk1
641862.979,4241283.584,7.897,BANK,Nichols 2015,771_770_stk2
641862.607,4241284.006,7.889,BANK,Nichols 2015,771_770_stk3
641862.252,4241284.358,7.947,BANK,Nichols 2015,771_770_stk4
641861.913,4241284.783,7.991,BANK,Nichols 2015,771_770_stk5
641861.563,4241285.133,8.023,BANK,Nichols 2015,771_770_stk6
641861.191,4241285.547,7.999,BANK,Nichols 2015,771_770_stk7
641860.910,4241285.873,7.984,BANK,Nichols 2015,771_770_stk8
641860.418,4241286.347,7.96,BANKTOP,Nichols 2015,771_770_stk9
641860.155,4241286.744,7.653,BANKSLOPE,Nichols 2015,771_770_stk10
641859.938,4241286.893,7.548,BANKSLOPE,Nichols 2015,771_770_stk11
641859.823,4241287.060,7.246,BANKSLOPE,Nichols 2015,771_770_stk12
641859.688,4241287.228,6.945,BANKSLOPE,Nichols 2015,771_770_stk13
641859.455,4241287.389,6.87,BANKSLOPE,Nichols 2015,771_770_stk14
