FID,Id,ORIG_FID,POINT_X,POINT_Y
429,0,0,-121.3831434,38.30083067
430,0,0,-121.3831107,38.30080985
431,0,0,-121.3831167,38.30071764
432,0,0,-121.3829709,38.30058083
433,0,0,-121.3829739,38.30050647
434,0,0,-121.3830096,38.30037857
435,0,0,-121.3830512,38.30030719
436,0,0,-121.3830215,38.30029232
437,0,0,-121.383081,38.29999191
438,0,0,-121.3830929,38.29993837
439,0,0,-121.3831286,38.29992053
440,0,0,-121.3831256,38.29989078
441,0,0,-121.383084,38.29990268
442,0,0,-121.3830721,38.29975694
443,0,0,-121.3829918,38.29953981
444,0,0,-121.3828877,38.29942976
445,0,0,-121.3827627,38.29937027
446,0,0,-121.3827389,38.29933161
447,0,0,-121.3826497,38.29931674
448,0,0,-121.3825486,38.29926617
449,0,0,-121.3824266,38.29914423
450,0,0,-121.3823315,38.29903715
451,0,0,-121.3823731,38.2990193
452,0,0,-121.3823136,38.29898064
453,0,0,-121.3822006,38.2989271
454,0,0,-121.3821679,38.29885274
455,0,0,-121.3820935,38.29881408
456,0,0,-121.3820846,38.29876351
457,0,0,-121.382037,38.29874269
458,0,0,-121.382031,38.29868321
459,0,0,-121.3819656,38.29860885
460,0,0,-121.3819091,38.29859992
461,0,0,-121.3817961,38.29848393
462,0,0,-121.3817396,38.29844229
463,0,0,-121.3816712,38.29831736
464,0,0,-121.3815671,38.29812701
465,0,0,-121.3815105,38.29799614
466,0,0,-121.3814927,38.29791285
467,0,0,-121.3815016,38.29775522
468,0,0,-121.3815165,38.29764814
469,0,0,-121.3815254,38.29759758
470,0,0,-121.381463,38.29738937
471,0,0,-121.3814421,38.29733286
472,0,0,-121.3813559,38.29726445
473,0,0,-121.381338,38.29702056
474,0,0,-121.3812666,38.29680641
475,0,0,-121.3811625,38.29660713
476,0,0,-121.3811447,38.29654169
477,0,0,-121.3810584,38.29641082
478,0,0,-121.3810525,38.29634539
479,0,0,-121.3810198,38.29631862
480,0,0,-121.3809662,38.29630374
481,0,0,-121.3808205,38.29621154
482,0,0,-121.3808116,38.29619072
483,0,0,-121.3806539,38.29605688
484,0,0,-121.3805469,38.2959498
485,0,0,-121.3805201,38.29590518
486,0,0,-121.380535,38.29587247
487,0,0,-121.3804368,38.29581298
488,0,0,-121.3803773,38.29558991
489,0,0,-121.3803922,38.29556909
490,0,0,-121.3802643,38.29538765
491,0,0,-121.380184,38.29519135
492,0,0,-121.3800888,38.29506642
493,0,0,-121.3799371,38.29489986
494,0,0,-121.3798955,38.29485227
495,0,0,-121.3798152,38.29463515
496,0,0,-121.3797914,38.29453997
497,0,0,-121.3798152,38.29443587
498,0,0,-121.379836,38.29431689
499,0,0,-121.3798509,38.29409679
500,0,0,-121.3798895,38.29390941
501,0,0,-121.3799252,38.29362983
502,0,0,-121.3799907,38.29303793
503,0,0,-121.3799936,38.29290409
504,0,0,-121.3800531,38.29285947
505,0,0,-121.3799996,38.29255014
506,0,0,-121.3802167,38.292104
507,0,0,-121.3803981,38.29168164
508,0,0,-121.3804428,38.29166082
509,0,0,-121.3804428,38.29161323
510,0,0,-121.3805201,38.29145559
511,0,0,-121.3805677,38.29128606
512,0,0,-121.3805855,38.29116411
513,0,0,-121.3805974,38.29106298
514,0,0,-121.3807223,38.29094103
515,0,0,-121.3812548,38.29092021
516,0,0,-121.3815373,38.29092616
517,0,0,-121.3815462,38.29093211
518,0,0,-121.3817009,38.29094103
519,0,0,-121.3818466,38.29091427
520,0,0,-121.3819032,38.29089642
521,0,0,-121.3819518,38.29083906
